"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL001C",72.832563556631,0.383244298927753,0.236222603993236,1.62238622574293,0.104720676591829,0.227917394432628
"YAL002W",63.8750480727277,0.275814156370977,0.231287038166843,1.19251886554928,0.233057857944614,0.406877170672656
"YAL003W",1083.50306185493,-1.03434003074157,0.0566383024627309,-18.2622004150316,1.65485580595486e-74,1e-10
"YAL005C",1869.44631517251,-1.51226471173978,0.0450416194433696,-33.5748299112809,3.90970926306707e-247,1e-10
"YAL007C",135.859288433182,0.176055157685132,0.160007586826888,1.1002925622246,0.271204671768489,0.452194897823983
"YAL008W",63.9172519020656,0.185565403100794,0.234201577272299,0.792331995634009,0.428167120213029,0.610617745838815
"YAL009W",46.5397532014478,0.448937555357002,0.298643487410563,1.50325580259455,0.132773092604301,0.272554593909849
"YAL010C",46.1717953486356,0.365596976226195,0.273227506875681,1.33806797275555,0.180874279907511,0.339870064877892
"YAL011W",52.5068415543225,0.708613312655092,0.257365563454716,2.75333383045931,0.00589917088464204,0.0232625347982493
"YAL012W",821.476893780371,-0.445550130535884,0.0660571175399391,-6.74492238124829,1.5310885215288e-11,2.96222913020475e-10
"YAL013W",175.486180308671,0.14822528451337,0.139146606004712,1.06524541826303,0.286764885432944,0.468307903070278
"YAL014C",165.542786992234,-0.18992714659171,0.143764426263176,-1.32109974302007,0.186468108746347,0.348061458299488
"YAL015C",81.9011134588565,0.378264969408538,0.216933060536026,1.74369443031815,0.0812123870989142,0.189316515540586
"YAL016W",245.853780453115,0.106718578440033,0.117150066902042,0.910956188606089,0.36231845818498,0.548218240905348
"YAL017W",190.160078030479,-0.283604236413787,0.133368781181007,-2.12646643316686,0.033464441320243,0.0957412403865806
"YAL018C",0.109391348649571,-0.222057248710957,4.0804728567969,-0.0544194892366635,0.956600951695874,NA
"YAL019W",72.1260466209145,-0.548864971024892,0.216034663667089,-2.5406338117604,0.0110651742851828,0.0394166253647796
"YAL020C",130.539251263164,-0.434961055471051,0.159493593554878,-2.72713809863084,0.00638862951120718,0.0248280371873172
"YAL021C",160.011640894795,-0.37953479451256,0.140878989942599,-2.69404823719421,0.00705899478330808,0.0271711069826446
"YAL022C",158.16543964691,-0.180101844214239,0.147574014149498,-1.2204170581942,0.222306814060736,0.392974333795451
"YAL023C",532.125451324476,-0.260741844933843,0.0790447900090783,-3.29865946767518,0.000971476832307664,0.00493972765399722
"YAL024C",29.744510214465,0.725319771485617,0.344711020434235,2.10413862188661,0.0353663566937093,0.0997055872444569
"YAL025C",64.2585981474861,-1.10402706484212,0.228011867153465,-4.84197194920144,1.28556915381465e-06,1.09507411757716e-05
"YAL026C",146.807091320154,0.232134225617479,0.154258589670669,1.50483824669387,0.132365668005483,0.271817189423713
"YAL027W",35.860715787366,0.239066345276339,0.301699943338406,0.792397713539466,0.428128812202066,0.610617745838815
"YAL028W",75.4719977261061,0.0664012773835993,0.209553616298622,0.316870109695339,0.751342163191802,0.853932057767551
"YAL029C",151.497604002419,0.0271834795601258,0.149339622807789,0.182024562865764,0.8555634495271,0.917068345940915
"YAL030W",101.184734990949,0.0859901343328202,0.180985863171238,0.475120723939977,0.634700927980572,0.773687534229366
"YAL031C",96.5018078088268,0.694856315266677,0.200962025585993,3.45764983827426,0.000544909128382869,0.00293761250435086
"YAL032C",88.2344495242753,0.0487926960480308,0.204760179972116,0.238291918158479,0.811654689214161,0.891860937943672
"YAL033W",35.1708118527129,0.0651867583241437,0.313341909357086,0.208037151678477,0.835199959061079,0.905209500066966
"YAL034C",80.7757821631971,-0.126256541508868,0.214606733645919,-0.588315843421667,0.556320313156697,0.71649682281939
"YAL034W-A",20.6975039283889,0.388308793652993,0.406392952191248,0.955500806692768,0.339324497600348,0.524281705173408
"YAL035W",538.357805312022,-0.445850157565554,0.0780024761318259,-5.7158462099595,1.09159429401685e-08,1.14727564692011e-07
"YAL036C",60.3763675564451,-0.575428685819817,0.240736227300528,-2.39028704683267,0.0168352091253694,0.0556143786928285
"YAL037C-A",0.328174045948714,1.25549816297025,3.22697928864516,0.389062975206566,0.697229561460083,NA
